"treated_id","control_id"
"CA3260811624320120517_A","CA3976112380020080623_C1"
"CA3260811624320120517_A","CA3370611680419940619_C1"
"CA3260811624320120517_A","CA4016812363920150730_C1"
"CA3260811624320120517_A","CA3608212045920160702_C1"
"CA3260811624320120517_A","CA3592211936519930614_C1"
"CA3260811624320120517_A","CA3801412057319960812_C1"
"CA3260811624320120517_A","CA3781011959119870801_C1"
"CA3260811624320120517_A","CA3921812339220080704_C1"
"CA3260811624320120517_A","CA3448712019620040605_C1"
"CA3260811624320120517_A","CA4179312283119870830_C1"
"CA3260811624320120517_A","CA3365811690720100717_C1"
"CA3260811624320120517_A","CA3398611448919860413_C1"
"CA3260811624320120517_A","CA3814611990020030720_C1"
"CA3260811624320120517_A","CA3998112259119840712_C1"
"CA3260811624320120517_A","CA3360811688220040717_C1"
"CA3260811624320120517_A","CA3855712103319960802_C1"
"CA3260811624320120517_A","CA3976112013320030720_C1"
"CA3260811624320120517_A","CA4094212148720090802_C1"
"CA3260811624320120517_A","CA3599211702520060705_C1"
"CA3260811624320120517_A","CA4170412201220090719_C1"
"CA3260911605720070605_A","CA3695911870020010730_C1"
"CA3260911605720070605_A","CA3776911967520120616_C1"
"CA3260911605720070605_A","CA4028412415619900808_C1"
"CA3260911605720070605_A","CA3619712028419960512_C1"
"CA3260911605720070605_A","CA3944912076419870829_C1"
"CA3260911605720070605_A","CA3806112069019861022_C1"
"CA3260911605720070605_A","CA3402011446219950623_C1"
"CA3260911605720070605_A","CA3271711662220060723_C1"
"CA3260911605720070605_A","CA4035712344220150731_C1"
"CA3260911605720070605_A","CA3469811712319930720_C1"
"CA3260911605720070605_A","CA3759211908519920820_C1"
"CA3260911605720070605_A","CA3814611990020030720_C1"
"CA3260911605720070605_A","CA3953212141419990823_C1"
"CA3260911605720070605_A","CA3628511842820070827_C1"
"CA3260911605720070605_A","CA4003612349819900923_C1"
"CA3260911605720070605_A","CA3413411831120070508_C1"
"CA3260911605720070605_A","CA3502511902319930510_C1"
"CA3260911605720070605_A","CA3387911608820060707_C1"
"CA3260911605720070605_A","CA4075212115820020926_C1"
"CA3260911605720070605_A","CA3597112115720150618_C1"
"CA3271011638520120617_A","CA4196012323320120805_C1"
"CA3271011638520120617_A","CA3332411665620030612_C1"
"CA3271011638520120617_A","CA4030412219519990823_C1"
"CA3271011638520120617_A","CA3656511897419960901_C1"
"CA3271011638520120617_A","CA3633511885119880901_C1"
"CA3271011638520120617_A","CA3762512119620040719_C1"
"CA3271011638520120617_A","CA3515111961720000722_C1"
"CA3271011638520120617_A","CA3448712019620040605_C1"
"CA3271011638520120617_A","CA4177812162219990823_C1"
"CA3271011638520120617_A","CA3586112056119850717_C1"
"CA3271011638520120617_A","CA3801412057319960812_C1"
"CA3271011638520120617_A","CA3698911976620080610_C1"
"CA3271011638520120617_A","CA3895812277519870416_C1"
"CA3271011638520120617_A","CA4192312065019840813_C1"
"CA3271011638520120617_A","CA3398611448919860413_C1"
"CA3271011638520120617_A","CA4037712021119860718_C1"
"CA3271011638520120617_A","CA3630012029019870514_C1"
"CA3271011638520120617_A","CA3702812134320090829_C1"
"CA3271011638520120617_A","CA4061112052020020712_C1"
"CA3271011638520120617_A","CA3622211804719960715_C1"
"CA3271711662220060723_A","CA3626012031719840525_C1"
"CA3271711662220060723_A","CA3944112156720080610_C1"
"CA3271711662220060723_A","CA4028412415619900808_C1"
"CA3271711662220060723_A","CA3509311838420050709_C1"
"CA3271711662220060723_A","CA3790211905120100726_C1"
"CA3271711662220060723_A","CA3502511902319930510_C1"
"CA3271711662220060723_A","CA3344811666519940624_C1"
"CA3271711662220060723_A","CA3657512062719960427_C1"
"CA3271711662220060723_A","CA3644111867320021010_C1"
"CA3271711662220060723_A","CA3585712139119850803_C1"
"CA3271711662220060723_A","CA3464911838419890628_C1"
"CA3271711662220060723_A","CA3738011861319950614_C1"
"CA3271711662220060723_A","CA3536411577420110828_C1"
"CA3271711662220060723_A","CA3801412057319960812_C1"
"CA3271711662220060723_A","CA3918412148220080621_C1"
"CA3271711662220060723_A","CA3606111889420060720_C1"
"CA3271711662220060723_A","CA3787811915920150815_C1"
"CA3271711662220060723_A","CA3597112115720150618_C1"
"CA3271711662220060723_A","CA3648711874620030927_C1"
"CA3271711662220060723_A","CA3783112171619980504_C1"
"CA3274911631019920719_A","CA4090212304019870830_C1"
"CA3274911631019920719_A","CA3921812339220080704_C1"
"CA3274911631019920719_A","CA3654012136120050613_C1"
"CA3274911631019920719_A","CA3698911976620080610_C1"
"CA3274911631019920719_A","CA4038012294620080907_C1"
"CA3274911631019920719_A","CA4035712344220150731_C1"
"CA3274911631019920719_A","CA3684611939119870831_C1"
"CA3274911631019920719_A","CA3769212044420080610_C1"
"CA3274911631019920719_A","CA3891612125220080901_C1"
"CA3274911631019920719_A","CA4025912391820030930_C1"
"CA3274911631019920719_A","CA3484512056319930615_C1"
"CA3274911631019920719_A","CA3927012245319841128_C1"
"CA3274911631019920719_A","CA3580712001619960522_C1"
"CA3274911631019920719_A","CA3722512083420010613_C1"
