year,selected_k,emb_effective_pool_size,emb_prefit_rmse_cv,emb_ess,emb_median_smd,emb_max_smd,emb_top10_share,full_fit_path,full_prefit_rmse_cv,full_ess,full_median_smd,full_max_smd,full_top10_share,random_prefit_rmse_cv,random_ess,random_median_smd,random_max_smd,random_top10_share
2008,NA,46792,0.0078396630816268,3818.59255119478,0.0078396630816268,0.0078396630816268,0.613735091188032,data/processed_data/rev_analysis_low/full_pool/cbps_fit_2008_conifer_rho0.003.RDS,0.5588307818119325,2479.214792294494,0.0025704505734022776,0.02367175667235909,0.026615976189569256,0.0097995788520335,2482.085158276,0.0156793261632536,0.0156793261632536,0.705295354366239
2009,22,11078,0.0047010315619787,1917.83443862296,0.0047010315619787,0.572837930585617,0.473853555396481,data/processed_data/rev_analysis_low/full_pool/cbps_fit_2009_conifer_rho0.001.RDS,0.09239972355787787,4716.963511574302,0.0012719666096865402,0.007895396847974108,0.03252738526360461,0.00564123787437444,1438.37582896672,0.0094020631239574,0.9,0.5450415882069531
2010,19,5382,0.0051445927302216,982.185920028038,0.0051445927302216,0.0051445927302216,0.47546888541054,data/processed_data/rev_analysis_low/full_pool/cbps_fit_2010_conifer_rho0.001.RDS,0.122037175894229,1128.278138971845,0.0010549392459711687,0.012919693867861199,0.07672889260534102,0.00617351127626592,687.529144019626,0.0102891854604432,0.02,0.522015774951594
2011,21,5671,0.0054210222443715,912.082471037763,0.0054210222443715,0.0054210222443715,0.518060419753955,data/processed_data/rev_analysis_low/full_pool/cbps_fit_2011_conifer_rho0.001.RDS,0.14461531223123567,2631.3730901719105,9.913034934255832e-4,0.007694269475820856,0.042458301907275606,0.0065052266932468,638.457729726434,0.010842044488743,0.02,0.5698664617283505
2012,26,13605,0.0027638933987975,1333.93805362844,0.0027638933987975,0.0027638933987975,0.569988191534273,data/processed_data/rev_analysis_low/full_pool/cbps_fit_2012_conifer_rho0.003.RDS,0.11672676413226865,3662.5916199173193,0.00232392057003235,0.030325072720614514,0.027919244878529207,0.003316672078557,933.356637539908,0.005527786797595,0.03,0.6269870106877003
2013,13,8680,0.0123476300659229,1393.45693374154,0.0123476300659229,0.0214860213152009,0.523576835355488,data/processed_data/rev_analysis_low/full_pool/cbps_fit_2013_conifer_rho0.02.RDS,0.28971742802453115,2458.934942697897,0.006255491353501805,0.07326165159734234,0.022338911615222664,0.0141992745758113,836.074160244924,0.0246952601318458,0.05,0.576
2014,24,14732,0.0084663360907051,1570.9554393315,0.0084663360907051,0.572789057258191,0.59706303560216,data/processed_data/rev_analysis_low/full_pool/cbps_fit_2014_conifer_rho0.03.RDS,0.332883515039517,2361.7343789319916,0.006766563858328903,0.04424436946444025,0.0208488714883504,0.010159603309,1021.121035565475,0.0169326721814102,0.9,0.6269161873822171
2015,24,18573,0.036461643686443,1471.8394782099,0.036461643686443,0.0523886827386248,0.696760649713313,data/processed_data/rev_analysis_low/full_pool/cbps_fit_2015_conifer_rho0.02.RDS,0.14706322329519228,5086.341793924184,0.004151162623310812,0.08266537885684876,0.01740099103469223,0.040107808054,883.10368692594,0.072923287372886,0.12,0.731598682198978
2016,12,4700,0.004174856896759,606.875453882222,0.004174856896759,0.529697786893059,0.526945045734652,data/processed_data/rev_analysis_low/full_pool/cbps_fit_2016_conifer_rho0.003.RDS,0.1267549832088648,379.586637705908,0.0015759324252108276,0.01775501003359747,0.1213808204687019,0.00521857112094875,364.125272329333,0.008349713793518,0.8,0.5796395503081172
2017,29,26378,0.0116691592971394,2848.18319471293,0.0116691592971394,0.570652736731233,0.62166844509435,data/processed_data/rev_analysis_low/full_pool/cbps_fit_2017_conifer_rho0.003.RDS,0.1817146822676644,646.9898032937625,0.001786854843816523,0.12639519804857596,0.08599827676521442,0.0134195321917103,1993.728236298051,0.0233383185942788,0.8,0.652751867348067
2019,13,4606,0.0150164862969284,861.448440053854,0.0150164862969284,0.0271329781442708,0.499942191050825,data/processed_data/rev_analysis_low/full_pool/cbps_fit_2019_conifer_rho0.003.RDS,0.1635299569254625,1129.3263220789545,0.001404297219899986,0.014759420208767698,0.06359893003712581,0.017268,516.869264032312,0.0300329725938576,0.08,0.5499364101559075
